archivo,titulo,autor_fuente,fecha,categoria,palabras_aprox
1989_barro_tal_vez.txt,Barro Tal Vez,Luis Alberto Spinetta,1989,rock,166
1996_fina_ropa_blanca.txt,Fina Ropa Blanca,Luis Alberto Spinetta,1996,rock,180
1996_cheques.txt,Cheques,Luis Alberto Spinetta,1996,rock,83
1991_seguir_viviendo_sin_tu_amor.txt,Seguir Viviendo Sin Tu Amor,Luis Alberto Spinetta,1991,rock,87
2005_alma_de_diamante.txt,Alma De Diamante,Luis Alberto Spinetta,2005,rock,99
2003_mi_elemento.txt,Mi Elemento,Luis Alberto Spinetta,2003,rock,148
1997_tu_nombre_sobre_mi_nombre.txt,Tu nombre sobre mi nombre,Luis Alberto Spinetta,1997,rock,184
2005_que_hermosa_estas.txt,Que hermosa estas,Luis Alberto Spinetta,2005,rock,110
1983_inconsciente_colectivo.txt,Inconsciente Colectivo,Charly García,1983,rock,135
1980_no_soy_un_extraño.txt,No Soy Un Extraño,Charly García,1980,rock,140
1987_chipi_chipi.txt,Chipi Chipi,Charly García,1987,rock,192
1994_fanky.txt,Fanky,Charly García,1994,rock,115
2002_deberías_saber_por_qué.txt,Deberías Saber Por Qué,Charly García,2002,rock,124
1984_tu_vicio.txt,Tu Vicio,Charly García,1984,rock,185
1987_no_me_dejan_salir.txt,No Me Dejan Salir,Charly García,1987,rock,168
1984_demoliendo_hoteles.txt,Demoliendo Hoteles,Charly García,1984,rock,150
1985_giros.txt,Giros,Fito Páez,1985,rock,108
1987_tumbas_de_la_gloria.txt,Tumbas De La Gloria,Fito Páez,1987,rock,209
1992_el_amor_después_del_amor.txt,El Amor Después Del Amor,Fito Páez,1992,rock,246
1994_a_rodar_mi_vida.txt,A Rodar Mi Vida,Fito Páez,1994,rock,239
1999_al_lado_del_camino.txt,Al Lado Del Camino,Fito Páez,1999,rock,450
2003_el_diablo_de_tu_corazón.txt,El Diablo De Tu Corazón,Fito Páez,2003,rock,269
2000_rey_sol.txt,Rey sol,Fito Páez,2000,rock,170
2009_tiempo_al_tiempo.txt,Tiempo Al Tiempo,Fito Páez,2009,rock,205
